timestamp,session_id,event_type,event_subtype,symbol,side,quantity,price,order_id,grid_level,cycle_id,pnl,fee,fee_asset,risk_level,message,data_json,error
2025-09-25T19:06:03.472148,20250925_190603,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 111450.21, ""total_levels"": 10, ""price_range"": ""109499.83 - 113400.59"", ""spacing_pct"": 0.35}",
2025-09-25T20:03:16.387856,20250925_200316,trade,execution,,buy,,111060.13426500002,,,,,,,,,"{""qty"": 0.013, ""timestamp"": ""2025-09-25T20:03:16.387178""}",
2025-09-25T20:03:16.408950,20250925_200316,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 1.4437817454450002, ""order_type"": ""LIMIT"", ""total_fees_paid"": 1.4437817454450002, ""total_fee_savings"": 0.0, ""payments_count"": 1}",
2025-09-25T20:03:16.411767,20250925_200316,trade,execution,BTCUSDT,BUY,0.013,111060.13426500002,2888572,-1,,0,,,,,"{""grid_level"": -1, ""timestamp"": ""2025-09-25T20:03:16.411750"", ""trade_type"": ""GRID""}",
2025-09-25T20:03:16.414972,20250925_200316,signal,trade_saved,,BUY,,111060.13426500002,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-1_1758805396""}",
2025-09-26T00:00:10.545718,20250926_000010,signal,daily_risk_reset,,,,,,,,,,,,,"{""signal_type"": ""daily_risk_reset"", ""date"": ""2025-09-26"", ""previous_day_pnl"": 0}",
2025-09-26T00:10:18.662246,20250926_001018,trade,execution,,buy,,110670.05853000001,,,,,,,,,"{""qty"": 0.013, ""timestamp"": ""2025-09-26T00:10:18.662157""}",
2025-09-26T00:10:18.670655,20250926_001018,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 1.43871076089, ""order_type"": ""LIMIT"", ""total_fees_paid"": 2.882492506335, ""total_fee_savings"": 0.0, ""payments_count"": 2}",
2025-09-26T00:10:18.674054,20250926_001018,trade,execution,BTCUSDT,BUY,0.013,110670.05853000001,2921734,-2,,0,,,,,"{""grid_level"": -2, ""timestamp"": ""2025-09-26T00:10:18.674032"", ""trade_type"": ""GRID""}",
2025-09-26T00:10:18.677989,20250926_001018,signal,trade_saved,,BUY,,110670.05853000001,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-2_1758820218""}",
2025-09-26T00:19:25.581429,20250926_001925,trade,execution,,buy,,110279.98279500002,,,,,,,,,"{""qty"": 0.013, ""timestamp"": ""2025-09-26T00:19:25.581340""}",
2025-09-26T00:19:25.593458,20250926_001925,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 1.4336397763350002, ""order_type"": ""LIMIT"", ""total_fees_paid"": 4.316132282670001, ""total_fee_savings"": 0.0, ""payments_count"": 3}",
2025-09-26T00:19:25.596711,20250926_001925,trade,execution,BTCUSDT,BUY,0.013,110279.98279500002,2923391,-3,,0,,,,,"{""grid_level"": -3, ""timestamp"": ""2025-09-26T00:19:25.596692"", ""trade_type"": ""GRID""}",
2025-09-26T00:19:25.601421,20250926_001925,signal,trade_saved,,BUY,,110279.98279500002,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-3_1758820765""}",
2025-09-26T00:31:34.807612,20250926_003134,trade,execution,,buy,,109889.90706,,,,,,,,,"{""qty"": 0.013, ""timestamp"": ""2025-09-26T00:31:34.807526""}",
2025-09-26T00:31:34.818910,20250926_003134,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 1.4285687917799998, ""order_type"": ""LIMIT"", ""total_fees_paid"": 5.744701074450001, ""total_fee_savings"": 0.0, ""payments_count"": 4}",
2025-09-26T00:31:34.822448,20250926_003134,trade,execution,BTCUSDT,BUY,0.013,109889.90706,2925718,-4,,0,,,,,"{""grid_level"": -4, ""timestamp"": ""2025-09-26T00:31:34.822426"", ""trade_type"": ""GRID""}",
2025-09-26T00:31:34.827488,20250926_003134,signal,trade_saved,,BUY,,109889.90706,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-4_1758821494""}",
2025-09-26T00:41:42.577189,20250926_004142,trade,execution,,buy,,109499.831325,,,,,,,,,"{""qty"": 0.013, ""timestamp"": ""2025-09-26T00:41:42.577120""}",
